Date,Open,High,Low,Close,Adj Close,Volume,Price_Range,Avg_Price,Day_Return,Volatility
,-0.6734687386779534,-0.6741192417506865,-0.6743136149363828,457.334015,457.334015,21056800,-0.5352310622977403,-0.6743743719741472,-0.02758467833035263,-0.33076228606131647
,-0.6740278749671039,-0.6748035160698558,-0.676833079228981,424.440002,424.440002,34483200,-0.5111717621194958,-0.6759501041107713,-0.05837382271387285,1.2477301626185704
,-0.6760620333104481,-0.6765589529062429,-0.6786639486503407,394.79599,394.79599,37919700,-0.5115609546634894,-0.6777425947526545,-0.05436185403585141,1.408969826159706
,-0.6778895904046935,-0.6768334724997973,-0.6783210621098502,408.903992,408.903992,36863600,-0.5200578256180237,-0.6777173248511765,0.0017494273372956214,0.9645647321412857
,-0.6770567267342953,-0.677490891744547,-0.678109728756318,398.821014,398.821014,26580100,-0.5322301060976454,-0.6779529747381963,-0.028530620973777107,0.009244455522320245
,-0.6776146804204697,-0.6778241381363589,-0.6778566798001114,402.152008,402.152008,24127600,-0.5403567147768914,-0.678001555177857,-0.012657924882586614,-0.567482711772829
,-0.6774288815948902,-0.6757290429205287,-0.6779164665612895,435.790985,435.790985,45099500,-0.5097936730951297,-0.6769525195573896,0.02683955140767976,1.6816816620235202
,-0.6753387098863025,-0.6760583579192566,-0.6763186526266615,423.204987,423.204987,30627700,-0.535894320182436,-0.6763459665151099,-0.032760481311897106,-0.31636946330381976
,-0.6761208399883919,-0.6768199250001522,-0.6770660721744444,411.574005,411.574005,26814400,-0.5366916089058198,-0.6771008441586513,-0.03151806439862261,-0.346170859568515
,-0.6768490698114624,-0.677338965957932,-0.6776721960025925,404.424988,404.424988,21460800,-0.5359381586090023,-0.6776623023110678,-0.02561798529621771,-0.26775763756139787
,-0.6773379700778401,-0.677841858768364,-0.6778411723850541,399.519989,399.519989,15029300,-0.5408163567188085,-0.678003142206419,-0.021792876820991753,-0.6081523647323576
,-0.6775916417694894,-0.6781809099268086,-0.6793175569364522,377.181,377.181,23613300,-0.5258381102263198,-0.678894641644409,-0.04531842414699018,0.5096082843139949
,-0.6789915271771421,-0.679136859577668,-0.6794516112615095,375.46701,375.46701,32497700,-0.5376203321498366,-0.6794516502349339,-0.018474230133857197,-0.3154784864134101
,-0.6790436896308992,-0.6787881314091222,-0.679374523829748,386.944,386.944,34707300,-0.5337000912067685,-0.6792347663732468,-0.0026002362323210406,-0.004441195787256051
,-0.6783395559333981,-0.6787638178932701,-0.6789043745870952,383.61499,383.61499,26229400,-0.5396582184470101,-0.6789939185203183,-0.021504189413216086,-0.49520345515417846
,-0.6785531122094505,-0.6791195616416349,-0.6794063698307551,375.071991,375.071991,21777700,-0.5379811825573902,-0.6794207768886741,-0.028082172725806924,-0.3594613460992012
,-0.6791000137368113,-0.6795914281201729,-0.6803731325640346,359.511993,359.511993,30901200,-0.5317223523717808,-0.6801331115855249,-0.03678535205483505,0.15473574794382527
,-0.6800494371386121,-0.6803902507494923,-0.6824219372874833,328.865997,328.865997,47236500,-0.5156005953080918,-0.6815392020860199,-0.0565772742914868,1.5402248134336445
,-0.6819729996861665,-0.6817623043956521,-0.6847665938010625,320.51001,320.51001,83308096,-0.5036551343973353,-0.6833839458183656,-0.027424837585251154,2.874420132239692
,-0.68250251178319,-0.681560723474768,-0.6839166471994459,330.07901,330.07901,79011800,-0.5121872437970553,-0.6828674257980349,-0.004102944669213248,2.1930157621080606
,-0.68186941760037,-0.6819167699264292,-0.6827682205365297,336.187012,336.187012,49199900,-0.5326424764935559,-0.6824928813622013,-0.009370231036636933,0.2539025272971583
,-0.6815258900654046,-0.6810024907561097,-0.6823385060821344,352.940002,352.940002,54736300,-0.5254162480627476,-0.6818137222066859,0.005091278667205327,0.8675867597656325
,-0.680493069245897,-0.6792871519760854,-0.6810249456722448,365.026001,365.026001,83641104,-0.5186608595915702,-0.6802931056938538,-0.0007675424385785644,1.3383201410522219
,-0.6797516741777881,-0.6797503713010121,-0.6806868639159555,361.562012,361.562012,43665700,-0.529773846600375,-0.6803672684613037,-0.020618776025697193,0.35191873474310476
,-0.6799581522856508,-0.6802267117403211,-0.6804953968988282,362.299011,362.299011,13345200,-0.5391074914475511,-0.6805193891713985,-0.015383701646139353,-0.3997446363869326
,-0.6798809025528848,-0.6794863131454825,-0.680483028145516,378.549011,378.549011,17552800,-0.5287557419714513,-0.6801323954853737,0.003955878911505076,0.44403393444810485
,-0.6789298645912555,-0.6784101893786904,-0.6796658270882716,390.414001,390.414001,35221400,-0.524425674543049,-0.679181765843526,-0.0004904579965848466,0.717464577050594
,-0.6780747070166471,-0.6775349211335137,-0.6782287234515466,400.869995,400.869995,38491500,-0.5312601398859783,-0.6780334229416802,-0.004762795525553314,0.1329514453027375
,-0.6774994889664235,-0.6781077293939018,-0.6783926388612921,394.77301,394.77301,25267100,-0.5371993626316846,-0.6784077812412684,-0.02455857381836633,-0.3368794768941849
,-0.6778992156031111,-0.6783145705783657,-0.6793984244624338,382.556,382.556,26990000,-0.5266525714200169,-0.6790026941860701,-0.03200780930687858,0.4697589114047255
,-0.6786296171954463,-0.6791207114908006,-0.679249824806953,383.757996,383.757996,13600700,-0.5400963879279236,-0.6793453395189734,-0.015299965169880903,-0.5206427923149822
,-0.678553857018319,-0.6785352637801767,-0.6790202932259263,391.441986,391.441986,11416800,-0.5348573643255947,-0.6789326096105377,-0.006969248388551735,-0.11820701479102273
